danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo,pais
0.726,NATTAN,2BlFIe0712LBUtTHxbqjme,Love Gostosinho - Ao Vivo,7,0.814,0.503,164075,-3.853,0.031,141.934,BRA
0.899,Veigh,5qOZbLAjBqInXwAECb9NRS,Clickbait,0,0.543,0.391,161344,-6.681,0.321,119.04,BRA
0.532,MC Xenon,22sAwsBH0NoNJXnrBenQuO,Sem Aliança no Dedo,1,0.355,0.732,120461,-6.632,0.332,82.713,BRA
0.68,Ana Castela,7sopDXkuzXtHt8AQpdBxmT,DONA DE MIM,1,0.793,0.437,145092,-4.726,0.234,167.922,BRA
0.708,Gusttavo Lima,1L7hWEc3tVjvmbw48ShktM,Desejo Imortal (It Must Have Been Love),11,0.811,0.261,184128,-4.263,0.0296,139.973,BRA
0.893,Naiara Azevedo,0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,0,0.829,0.518,159530,-5.098,0.151,146.062,BRA
0.879,Zé Felipe,7CJJ7JC3kj9XdweWTvfVhX,Vacilão,7,0.886,0.237,130403,-3.287,0.0508,125.973,BRA
0.85,MC Rogerinho,7Ht57bh2FwiQLwRH9zqESG,085 - Ao Vivo,2,0.655,0.211,163584,-2.891,0.0298,106.031,BRA
0.596,Maiara & Maraisa,5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,11,0.85,0.608,165000,-4.528,0.0523,138.057,BRA
0.892,Belle Kaffer,77BR4gaUAp3p0uA8UL6HT9,Não Para,7,0.655,0.116,180923,-7.03,0.069,129.959,BRA
0.509,Gusttavo Lima,51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,8,0.935,0.108,194850,-3.627,0.0709,158.927,BRA
0.38,Luan Santana,235CP5ItAYMS6usv3C8jkP,DEUS É MUITO BOM - Ao Vivo,0,0.719,0.291,174318,-4.687,0.033,132.585,BRA
0.639,Juliette,3IyHot1hbizbIjvCkRrLHT,Bença,2,0.427,0.225,147811,-10.911,0.0297,156.004,BRA
0.565,Matheus & Kauan,2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,1,0.889,0.582,183695,-2.976,0.0498,121.778,BRA
0.727,MC Kevin o Chris,3khLpwuyIjEOw8vfJ1oUIT,Papin,5,0.786,0.491,122667,-5.755,0.291,134.571,BRA
0.656,Wesley Safadão,5y7yYXNSsT89A27DQxbmUL,Covardia,8,0.913,0.215,150864,-3.316,0.0522,149.969,BRA
0.77,MC Kevin o Chris,5WsM6qhZzRSD3oKbtorxzD,Aquecimento Senta Senta Suave,5,0.645,0.581,147383,-6.912,0.339,134.858,BRA
0.629,Israel & Rodolffo,18yZLabAj1liqEUcgxDgeJ,Perdoou Nada - Ao Vivo,3,0.864,0.105,163120,-4.179,0.059,153.937,BRA
0.633,Hugo & Guilherme,09pQ3lGyMTpW3rz7a71zwQ,Metade De Mim - Ao Vivo,0,0.862,0.297,160836,-5.206,0.0804,141.981,BRA
0.846,Zé Felipe,2hkwwmmLC90T8BQ7t3xufq,Roça Em Mim,9,0.81,0.222,158171,-3.332,0.0867,135.074,BRA
0.585,WIU,2orGm2E68ODFYOURjaES62,Felina,5,0.662,0.385,225882,-4.235,0.351,169.239,BRA
0.446,Guilherme & Benuto,5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,4,0.941,0.411,180505,-4.134,0.378,75.104,BRA
0.588,Grandão Vaqueiro,1M6rclDhYmqRBMFGNJOFKB,Americana Na Vaquejada,11,0.794,0.184,156330,-4.182,0.0399,139.903,BRA
0.635,Henrique & Juliano,5yscNPMHmhqHQX9B9GFzMp,Te Esqueci Sem Querer - Ao Vivo Em Brasília,6,0.789,0.194,151093,-5.037,0.0365,106.12,BRA
0.774,KayBlack,2tFmuYL5D8zqBHvs0nG5Tn,Bonjour,5,0.436,0.292,131927,-10.792,0.0842,131.068,BRA
0.479,Zé Neto & Cristiano,4t6eam3rC9JoNFVkfOHK4s,Pátio do Posto - Ao Vivo,3,0.645,0.642,178548,-7.058,0.0425,139.32,BRA
0.503,MC Cabelinho,7aOBf2xYbux3bo1fwISo6b,BEM MELHOR,10,0.587,0.613,317340,-5.429,0.381,70.944,BRA
0.492,Morgan Wallen,7K3BhSpAxZBznislvUMVtn,Last Night,6,0.675,0.467,163855,-5.456,0.0389,203.759,CAN
0.707,Miley Cyrus,4DHcnVTT87F0zZhRPYmZ3B,Flowers,0,0.681,0.0632,200455,-4.325,0.0668,117.999,CAN
0.508,David Kushner,1odExI7RdWc4BT515LTAwj,Daylight,2,0.43,0.83,212954,-9.475,0.0335,130.09,CAN
0.712,Luke Combs,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,8,0.603,0.186,265493,-5.52,0.0262,97.994,CAN
0.783,FIFTY FIFTY,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,11,0.592,0.435,174253,-8.332,0.0331,120.018,CAN
